SKU;Hoja Excel;Fila;Consumo;Unidad;Excel;Proyecto;Diferencia proyecto menos Excel;Diferencia %
W1236;CANTOS Y OTROS;12;manija;und;1;1;0;0.0
W1236;CANTOS Y OTROS;12;tornillo;und;0;0;0;
W3036;CANTOS Y OTROS;13;Canto frente 22 mm;m;5.5816;5.556;-0.025599999999999845;-0.45864984950551535
W3036;CANTOS Y OTROS;13;Canto caja + polar 19 mm;m;15.928951999999999;16.0836;0.15464800000000167;0.9708611087534301
W3036;CANTOS Y OTROS;13;tarugos;und;24;24;0;0.0
W3036;CANTOS Y OTROS;13;soportes;und;8;8;0;0.0
W3036;CANTOS Y OTROS;13;carton;und;1.1;1.1;0.0;0.0
W3036;CANTOS Y OTROS;13;etiquetas;und;4;4;0;0.0
W3036;CANTOS Y OTROS;13;pata;und;0;0;0;
W3036;CANTOS Y OTROS;13;bisagra;pares;2;2;0;0.0
W3036;CANTOS Y OTROS;13;barra;pares;0;0;0;
W3036;CANTOS Y OTROS;13;riel;pares;0;0;0;
W3036;CANTOS Y OTROS;13;manija;und;2;2;0;0.0
W3036;CANTOS Y OTROS;13;tornillo;und;0;0;0;
W302024;CANTOS Y OTROS;14;Canto frente 22 mm;m;3.9560000000000004;3.9304;-0.02560000000000029;-0.6471183013144662
W302024;CANTOS Y OTROS;14;Canto caja + polar 19 mm;m;13.934187999999999;14.066;0.13181200000000182;0.9459611137728429
W302024;CANTOS Y OTROS;14;tarugos;und;24;24;0;0.0
W302024;CANTOS Y OTROS;14;soportes;und;4;4;0;0.0
W302024;CANTOS Y OTROS;14;carton;und;0.7;0.7;0.0;0.0
W302024;CANTOS Y OTROS;14;etiquetas;und;4;4;0;0.0
W302024;CANTOS Y OTROS;14;pata;und;0;0;0;
W302024;CANTOS Y OTROS;14;bisagra;pares;2;2;0;0.0
W302024;CANTOS Y OTROS;14;barra;pares;0;0;0;
W302024;CANTOS Y OTROS;14;riel;pares;0;0;0;
W302024;CANTOS Y OTROS;14;manija;und;2;2;0;0.0
W302024;CANTOS Y OTROS;14;tornillo;und;0;0;0;
UW1236;CANTOS Y OTROS;15;Canto frente 22 mm;m;2.2386039999999996;2.2336;-0.005003999999999564;-0.2235321655817449
UW1236;CANTOS Y OTROS;15;Canto caja + polar 19 mm;m;11.726116000000001;11.2468;-0.47931600000000074;-4.087593880190172
UW1236;CANTOS Y OTROS;15;tarugos;und;24;32;8;33.33333333333333
UW1236;CANTOS Y OTROS;15;soportes;und;12;8;-4;-33.33333333333333
UW1236;CANTOS Y OTROS;15;carton;und;0.4;0.4;0.0;0.0
UW1236;CANTOS Y OTROS;15;etiquetas;und;4;4;0;0.0
UW1236;CANTOS Y OTROS;15;pata;und;0;0;0;
UW1236;CANTOS Y OTROS;15;bisagra;pares;1;1;0;0.0
